"newPolarity"	"DI"	"Support"	"Marker"
TRUE	-1.011608857407	35.895666509643	1
FALSE	-14.7758219104531	22.536918564705	2
TRUE	-17.9532931059421	13.9439296018706	3
TRUE	-6.89655521443155	26.0276777082802	4
FALSE	-15.0297379457238	19.7910399223072	5
TRUE	-10.4774615496259	20.6522655397525	6
FALSE	-17.8479325902843	18.0376915292337	7
TRUE	-22.3037326232658	11.0567378915105	8
FALSE	-16.7472903332133	17.7830515029682	9
FALSE	-18.3587582140503	3.10327170904279	10
TRUE	-14.3703568023449	22.536918564705	11
FALSE	-5.75509096284035	31.2167229253472	12
TRUE	-20.4018287105795	1.02701021489911	13
FALSE	-5.97823451415456	28.8397893944788	14
FALSE	-16.5241467818991	6.80123708889871	15
